Username	Fullname	Followed by you	Is verified	Profile URL	Avatar URL
photospots.i8	Photo Spots at LPU (The Legends)	TRUE	FALSE	https://www.instagram.com/photospots.i8	https://instagram.fixc2-2.fna.fbcdn.net/v/t51.2885-19/434302538_397885402877808_6227798173801018556_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fixc2-2.fna.fbcdn.net&_nc_cat=100&_nc_ohc=BAb7cBwFpz4Q7kNvgH2l3yO&edm=ANg5bX4BAAAA&ccb=7-5&oh=00_AYDwTvNCqAx_szSVx-CGjHZOQhHKacKJDTft-9dnNkjngg&oe=6657FA3B&_nc_sid=0055be
fuckboyproblem.s	Fckboy Problem.s	TRUE	FALSE	https://www.instagram.com/fuckboyproblem.s	https://instagram.fixc2-2.fna.fbcdn.net/v/t51.2885-19/393314295_189784124155041_5356906357360088418_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fixc2-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=_NKY_JMlZlgQ7kNvgEJNxzt&edm=ANg5bX4BAAAA&ccb=7-5&oh=00_AYDhBvEIhiq_rzJljAsgi__qBKUDavKyC6My3k5smYoAtw&oe=6657F3AC&_nc_sid=0055be
calisthentic	Calisthentic	TRUE	FALSE	https://www.instagram.com/calisthentic	https://instagram.fixc2-2.fna.fbcdn.net/v/t51.2885-19/419308013_743598911038374_5104898961846460854_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fixc2-2.fna.fbcdn.net&_nc_cat=106&_nc_ohc=pWLArvUiy94Q7kNvgH_EXI4&edm=ANg5bX4BAAAA&ccb=7-5&oh=00_AYAbU0_53DB5Ab6U7ROPAsFF7F0XXBI3MiQ6bz5zuYURyQ&oe=6657DA11&_nc_sid=0055be
iamnotsofit	NotSoFit | Yatharth	TRUE	FALSE	https://www.instagram.com/iamnotsofit	https://instagram.fixc2-1.fna.fbcdn.net/v/t51.2885-19/327616713_853396745720281_1094228661289594208_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fixc2-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=kw0PjyF0NHcQ7kNvgHK4NRf&edm=ANg5bX4BAAAA&ccb=7-5&oh=00_AYBYKc2aQ_mif4IXLAaxr2LUuF1fTtgHx1eaXAlqf5gPNg&oe=6657EBD0&_nc_sid=0055be
_rd_._x	?????????	TRUE	FALSE	https://www.instagram.com/_rd_._x	https://instagram.fixc2-2.fna.fbcdn.net/v/t51.2885-19/425374126_354665764138918_1761166540737072244_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fixc2-2.fna.fbcdn.net&_nc_cat=110&_nc_ohc=jRg3OTdIpjQQ7kNvgH7Sg8i&edm=ANg5bX4BAAAA&ccb=7-5&oh=00_AYAUukUr6eNOVzM8ILymtbGCyD5T8S19gKAPwbTBbMe-tg&oe=66580276&_nc_sid=0055be
askokeyig	AskOkey Inc.	TRUE	FALSE	https://www.instagram.com/askokeyig	https://instagram.fixc2-2.fna.fbcdn.net/v/t51.2885-19/179966116_787416982193444_4707778118490274341_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fixc2-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=CpnHs25vxGYQ7kNvgE2rzG1&edm=ANg5bX4BAAAA&ccb=7-5&oh=00_AYD-Z-B70AbpYAXtLV59es9M1N-osHB5VIB_F-eA7SaMeQ&oe=6657F8CD&_nc_sid=0055be
supriyapurohittt	Supriya Purohit ?	TRUE	FALSE	https://www.instagram.com/supriyapurohittt	https://instagram.fixc2-1.fna.fbcdn.net/v/t51.2885-19/426061032_1417216385856929_6577649571537378122_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fixc2-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=2R7rqNezkIkQ7kNvgH4RjnJ&edm=ANg5bX4BAAAA&ccb=7-5&oh=00_AYD17TB_F04HNWi8RtBRbTvsdvg6-IfxmTv9JMfvlml5Hg&oe=6657F0CD&_nc_sid=0055be
pure__calisthenics	India's Most Trusted Coaches.	TRUE	FALSE	https://www.instagram.com/pure__calisthenics	https://instagram.fixc2-2.fna.fbcdn.net/v/t51.2885-19/150332658_221338136395494_7641212806846997925_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fixc2-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=m5HzMfikFlsQ7kNvgHSYZWp&edm=ANg5bX4BAAAA&ccb=7-5&oh=00_AYBJrwwEypW1l0CnDgRUEsAk95bH96LMLtW3E8gRFCdC-w&oe=6657DD0B&_nc_sid=0055be
shakotlokman	Shako Tahir	TRUE	TRUE	https://www.instagram.com/shakotlokman	https://instagram.fixc2-2.fna.fbcdn.net/v/t51.2885-19/328247713_922288688774915_4540039343892320582_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fixc2-2.fna.fbcdn.net&_nc_cat=111&_nc_ohc=_beEwI6EWMgQ7kNvgEzemaB&edm=ANg5bX4BAAAA&ccb=7-5&oh=00_AYDrUocZUTTfRV35qN_L-UsxPskyX7jcDxi69sVC2h07bQ&oe=6657DAA7&_nc_sid=0055be
chrisdaleyyy	LEGENDALEY	TRUE	FALSE	https://www.instagram.com/chrisdaleyyy	https://instagram.fixc2-2.fna.fbcdn.net/v/t51.2885-19/431325432_930291588732558_6402019051641626328_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fixc2-2.fna.fbcdn.net&_nc_cat=106&_nc_ohc=SDxBH8WgNdAQ7kNvgE55edx&edm=ANg5bX4BAAAA&ccb=7-5&oh=00_AYDHebKC6MVRtGbj0b6uCf6ALoKu5iTh2_-ZCY9vAFmiqw&oe=6657FAA7&_nc_sid=0055be
